Date,Close
2009-05-04,16381.0498046875
2009-05-05,16430.080078125
2009-05-06,16834.5703125
2009-05-07,17217.890625
2009-05-08,17389.869140625
2009-05-11,17087.94921875
2009-05-12,17153.640625
2009-05-13,17059.619140625
2009-05-14,16541.689453125
2009-05-15,16790.69921875
2009-05-18,17022.91015625
2009-05-19,17544.029296875
2009-05-20,17475.83984375
2009-05-21,17199.490234375
2009-05-22,17062.51953125
2009-05-25,17121.8203125
2009-05-26,16991.560546875
2009-05-27,17885.26953125
2009-05-29,18171.0
2009-06-01,18888.58984375
2009-06-02,18389.080078125
2009-06-03,18576.470703125
2009-06-04,18502.76953125
2009-06-05,18679.529296875
2009-06-08,18253.390625
2009-06-09,18058.490234375
2009-06-10,18785.66015625
2009-06-11,18791.029296875
2009-06-12,18889.6796875
2009-06-15,18498.9609375
2009-06-16,18165.5
2009-06-17,18084.599609375
2009-06-18,17776.66015625
2009-06-19,17920.9296875
2009-06-22,18059.55078125
2009-06-23,17538.369140625
2009-06-24,17892.150390625
2009-06-25,18275.029296875
2009-06-26,18600.259765625
2009-06-29,18528.509765625
2009-06-30,18378.73046875
2009-07-02,18178.05078125
2009-07-03,18203.400390625
2009-07-06,17979.41015625
2009-07-07,17862.26953125
2009-07-08,17721.0703125
2009-07-09,17790.58984375
2009-07-10,17708.419921875
2009-07-13,17254.630859375
2009-07-14,17885.73046875
2009-07-15,18258.66015625
2009-07-16,18361.869140625
2009-07-17,18805.66015625
2009-07-20,19502.369140625
2009-07-21,19501.73046875
2009-07-22,19248.169921875
2009-07-23,19817.69921875
2009-07-24,19982.7890625
2009-07-27,20251.619140625
2009-07-28,20624.5390625
2009-07-29,20135.5
2009-07-30,20234.080078125
2009-07-31,20573.330078125
2009-08-03,20807.259765625
2009-08-04,20796.4296875
2009-08-05,20494.76953125
2009-08-06,20899.240234375
2009-08-07,20375.369140625
2009-08-10,20929.51953125
2009-08-11,21074.2109375
2009-08-12,20435.240234375
2009-08-13,20861.30078125
2009-08-14,20893.330078125
